Field,Definition,Rationale,Example values
Pathogen identification,"Laboratory-confirmed pathogen or clinical syndrome if unconfirmed","Enables pathogen-specific trend analysis across event types","Norovirus GII; Andes virus (ANDV); Influenza A(H3N2); Legionella pneumophila; Unknown (clinical AGE)"
Passenger case count,"Number of passengers meeting case definition","Numerator for attack rate calculation","45"
Passenger denominator,"Total passengers on board at time of outbreak","Denominator for attack rate calculation","200"
Crew case count,"Number of crew meeting case definition","Captures occupational exposure and transmission dynamics","3"
Crew denominator,"Total crew on board at time of outbreak","Denominator for crew-specific attack rate","85"
Onset date,"Date of symptom onset in index case","Anchors temporal analysis and incubation period estimation","2026-04-15"
Report date,"Date event was first reported to a public health authority","Measures reporting delay","2026-05-02"
Outbreak duration (days),"Days from first to last case onset","Indicates transmission persistence and control effectiveness","12"
Transmission route,"Primary suspected or confirmed route of transmission","Informs intervention design","Person-to-person; Environmental; Foodborne; Waterborne; Zoonotic; Unknown"
Hospitalisations,"Number of cases requiring hospitalisation","Captures downstream clinical severity","2"
Deaths,"Number of deaths attributed to the outbreak","Captures mortality signal","0"
Response actions,"Public health and operational measures implemented","Documents intervention and enables effectiveness comparison","Isolation of cases; enhanced sanitation; voyage terminated early; contact tracing initiated"
Ship flag state,"Country of vessel registration","Identifies regulatory jurisdiction","Netherlands"
Voyage itinerary,"Ports of call and regions visited","Enables geographic risk mapping and contact tracing","Ushuaia–Antarctic Peninsula–Ushuaia"
Nationalities affected,"Number of countries represented among cases","Indicates cross-border notification requirements","23 countries; 9 EU/EEA"
